date,place,title,visitor_name,type,organisation,gender,race,party,nationality,note
2017-06-10,"Trump National Golf Club in Bedminster, New Jersey",Washington Redskins Quarterback,Kirk Cousins,Celebrity/athlete,,White,White,,,
2017-06-11,"Trump National Golf Club in Bedminster, New Jersey",New Jersey Representative,Tom MacArthur,U.S. politician,,White,White,Republican,,
2017-06-11,"Trump National Golf Club in Bedminster, New Jersey",New Jersey Governor,Chris Christie,U.S. politician,,White,White,Republican,,
2017-06-12,White House,Attorney General,Jeff Sessions,Cabinet member,,White,White,,,
2017-06-12,White House,Secretary of Labor,Alexander Acosta,,,Hispanic,Hispanic,Republican,,
2017-06-12,White House,Secretary of Energy,Rick Perry,Cabinet member,,White,White,,,
2017-06-12,White House,Director of the White House Office of Management and Budget,Mick Mulvaney,Cabinet member,,White,White,Republican,,
2017-06-12,White House,EPA Administrator,Scott Pruitt,Cabinet member,,White,White,,,
2017-06-12,White House,Director of National Intelligence,Dan Coats,Cabinet member,,White,White,,,
2017-06-12,White House,Secretary of Education,Betsy DeVos,Cabinet member,,White,White,Republican,,
2017-06-12,White House,Secretary of Health and Human Services,Tom Price,Cabinet member,,White,White,,,
2017-06-12,White House,Secretary of the Interior,Ryan Zinke,Cabinet member,,White,White,,,
2017-06-12,White House,Secretary of State,Rex Tillerson,Cabinet member,,White,White,,,
2017-06-12,White House,Secretary of Defense,James Mattis,Cabinet member,,White,White,,,
2017-06-12,White House,Secretary of Transportation,Elaine Chao,Cabinet member,,Asian,Asian,Republican,,
2017-06-12,White House,Secretary of Homeland Security,John Kelly,Cabinet member,,White,White,,,
2017-06-12,White House,Small Business Adminstrator,Linda McMahon,Cabinet member,,White,White,,,
2017-06-12,White House,CIA Director,Mike Pompeo,Cabinet member,,White,White,,,
2017-06-12,White House,Secretary of Veterans Affairs,David Shulkin,Cabinet member,,White,White,,,
