name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition
Pavel Tykac,Tykac,pavel-tykac,pavel-tykac,0,53,coal mines,Metals & Mining,M,Czech Republic,1516704901086,1505.273,1593,1593
Shamsheer Vayalil,Vayalil,shamsheer-vayalil,shamsheer-vayalil,0,41,healthcare,Healthcare,M,India,1516704901086,1571,1531,1531
Thongma Vijitpongpun,Vijitpongpun,thongma-vijitpongpun,thongma-vijitpongpun,4.656,59,real estate,Real Estate,M,Thailand,1516704901086,1555.82,1544,1544
Lang Walker,Walker,lang-walker,lang-walker,-0.443,72,real estate,Real Estate,M,Australia,1516704901086,2348.079,1079,1079
Wang Chaobin,Wang,wang-chaobin,wang-chaobin,0,62,real estate,Real Estate,M,China,1516704901086,1694.722,1440,1440
Wang Han,Wang,wang-han,no-pic,28.595,30,airline,Diversified,M,China,1516704901086,1281.285,1787,1787
Wang Junjin,Wang,wang-junjin,wang-junjin,28.641,49,airline,Service,M,China,1516704901086,1271.466,1798,1798
Yin-Chun Wei,Wei,yin-chun-wei,yin-chun-wei,-9.031,61,"food, beverages",Food and Beverage,M,Taiwan,1516704901086,1713.826,1425,1425
Wei Yin-Heng,Wei,wei-yin-heng,wei-yin-heng,-9.031,59,"food, beverages",Food and Beverage,M,Taiwan,1516704901086,1710.136,1428,1428
Dan Wilks,Wilks,dan-wilks,dan-wilks,1.175,61,natural gas,Energy,M,United States,1516704901086,1403.2,1677,1677
Farris Wilks,Wilks,farris-wilks,farris-wilks,0.953,65,natural gas,Energy,M,United States,1516704901086,1401.67,1682,1682
Allan Wong,Wong,allan-wong,allan-wong,-28.052,67,electronics,Manufacturing,M,Hong Kong,1516704901086,1621.771,1491,1491
Wu Xushun,Wu,wu-xushun,no-pic,-16.097,69,"internet, auto parts",Diversified,M,China,1516704901086,1476.164,1612,1612
Xu Qiming,Xu,xu-qiming,xu-qiming,0,54,"food, art",Diversified,M,China,1516704901086,1698.969,1438,1438
Xu Ziquan,Xu,xu-ziquan,no-pic,0,59,software,Technology,M,China,1516704901086,1353.393,1724,1724
Zan Shengda,Zan,zan-shengda,zan-shengda,8.693,54,diversified,Diversified,M,China,1516704901086,1341.47,1735,1735
Ahmet Nazif Zorlu,Zorlu,ahmet-nazif-zorlu,ahmet-nazif-zorlu,16.67,73,diversified,Diversified,M,Turkey,1516704901086,1518.407,1582,1582
Soegiarto Adikoesoemo,Adikoesoemo,soegiarto-adikoesoemo,soegiarto-adikoesoemo,-13.295,79,chemicals,Logistics,M,Indonesia,1516704901086,1249.183,1818,1818
Somphote Ahunai,Ahunai,somphote-ahunai,somphote-ahunai,-32.272,50,energy,Energy,M,Thailand,1516704901086,4479.181,499,499
Alberto Alcocer,Alcocer,alberto-alcocer,alberto-alcocer,-1.666,75,investments,Finance and Investments,M,Spain,1516704901086,1506.595,1592,1592
Abdul Majeed Alhokair,Alhokair,abdul-majeed-alhokair,no-pic,3.257,48,"retail, real estate",Fashion & Retail,M,Saudi Arabia,1516704901086,1280.967,1788,1788
Fawaz Alhokair,Alhokair,fawaz-alhokair,no-pic,3.157,52,"retail, shopping malls",Fashion & Retail,M,Saudi Arabia,1516704901086,1261.399,1804,1804
Salman Alhokair,Alhokair,salman-alhokair,no-pic,3.257,51,"retail, shopping malls",Fashion & Retail,M,Saudi Arabia,1516704901086,1280.967,1788,1789
Alexandra Andresen,Andresen,alexandra-andresen,no-pic-female,0,21,investments,Diversified,F,Norway,1516704901086,1289.707,1780,1780
